All calculations,WEC,WEC,WEC
"Time in s","Current, Magnitude A in kA","Current, Magnitude B in kA","Current, Magnitude C in kA"
11.0000000000,-0.0000353941,-0.0000099396,0.0000453337
11.0000505000,-0.0000353941,-0.0000099396,0.0000453337
11.0001176096,-0.0000353941,-0.0000099396,0.0000453337
11.0002176096,-0.0000353941,-0.0000099396,0.0000453337
11.0003176096,-0.0000353941,-0.0000099396,0.0000453337
11.0004176096,-0.0000353941,-0.0000099396,0.0000453337
11.0005176096,-0.0000353941,-0.0000099396,0.0000453337
11.0006176096,-0.0000353941,-0.0000099396,0.0000453337
11.0007176096,-0.0000353941,-0.0000099396,0.0000453337
11.0008176096,-0.0000353941,-0.0000099396,0.0000453337
11.0009176096,-0.0000353941,-0.0000099396,0.0000453337
11.0010000000,-0.0000208757,-0.0000266632,0.0000475389
11.0010505000,-0.0000208757,-0.0000266632,0.0000475389
11.0011176096,-0.0000208757,-0.0000266632,0.0000475389
11.0012176096,-0.0000208757,-0.0000266632,0.0000475389
11.0013176096,-0.0000208757,-0.0000266632,0.0000475389
11.0014176096,-0.0000208757,-0.0000266632,0.0000475389
11.0015176096,-0.0000208757,-0.0000266632,0.0000475389
11.0016176096,-0.0000208757,-0.0000266632,0.0000475389
11.0017176096,-0.0000208757,-0.0000266632,0.0000475389
11.0018176096,-0.0000208757,-0.0000266632,0.0000475389
11.0019176096,-0.0000208757,-0.0000266632,0.0000475389
11.0020000000,-0.0000033220,-0.0000395099,0.0000428320
11.0020505000,-0.0000033220,-0.0000395099,0.0000428320
11.0021176096,-0.0000033220,-0.0000395099,0.0000428320
11.0022176096,-0.0000033220,-0.0000395099,0.0000428320
11.0023176096,-0.0000033220,-0.0000395099,0.0000428320
11.0024176096,-0.0000033220,-0.0000395099,0.0000428320
11.0025176096,-0.0000033220,-0.0000395099,0.0000428320
11.0026176096,-0.0000033220,-0.0000395099,0.0000428320
11.0027176096,-0.0000033220,-0.0000395099,0.0000428320
11.0028176096,-0.0000033220,-0.0000395099,0.0000428320
11.0029176096,-0.0000033220,-0.0000395099,0.0000428320
11.0030000000,0.0000147146,-0.0000466119,0.0000318974
