All calculations,VPHa,VPHb,VPHc
"Time in s","Voltage in p.u.","Voltage in p.u.","Voltage in p.u."
11.0000000000,-0.6233844562,-0.4371169537,1.0605014098
11.0000505000,-0.6064114453,-0.4557188069,1.0621302522
11.0001176096,-0.5835373484,-0.4802637111,1.0638010595
11.0002176096,-0.5488825727,-0.5164167928,1.0652993655
11.0003176096,-0.5134687331,-0.5518051539,1.0652738870
11.0004176096,-0.4773409078,-0.5863607814,1.0637016893
11.0005176096,-0.4404888046,-0.6201356138,1.0606244184
11.0006176096,-0.4029784262,-0.6530371363,1.0560155626
11.0007176096,-0.3648894579,-0.6848982563,1.0497877142
11.0008176096,-0.3262250173,-0.7157238370,1.0419488543
11.0009176096,-0.2870238900,-0.7455378029,1.0325616929
11.0010000000,-0.2544117588,-0.7692487203,1.0236604791
11.0010505000,-0.2343005261,-0.7831822027,1.0174827289
11.0011176096,-0.2074237614,-0.8013604625,1.0087842239
11.0012176096,-0.1671513444,-0.8277197839,0.9948711283
11.0013176096,-0.1266696202,-0.8528766250,0.9795462451
11.0014176096,-0.0860400447,-0.8767727027,0.9628127474
11.0015176096,-0.0452328496,-0.8994629551,0.9446958047
11.0016176096,-0.0043349624,-0.9208701275,0.9252050900
11.0017176096,0.0365247241,-0.9408376059,0.9043128818
11.0018176096,0.0773460944,-0.9593722981,0.8820262037
11.0019176096,0.1181119049,-0.9765183238,0.8584064189
11.0020000000,0.1515537930,-0.9895339605,0.8379801675
11.0020505000,0.1718791091,-0.9967731332,0.8248940240
11.0021176096,0.1988507054,-1.0059416144,0.8070909090
11.0022176096,0.2388852198,-1.0186745053,0.7797892856
11.0023176096,0.2785488486,-1.0299419930,0.7513931445
11.0024176096,0.3177726935,-1.0397039989,0.7219313054
11.0025176096,0.3566016710,-1.0480104730,0.6914088019
11.0026176096,0.3949405677,-1.0548106536,0.6598700859
11.0027176096,0.4326300239,-1.0599811766,0.6273511527
11.0028176096,0.4696729430,-1.0635299906,0.5938570476
11.0029176096,0.5060761308,-1.0655149951,0.5594388644
11.0030000000,0.5354853584,-1.0659428352,0.5304574768
11.0030505000,0.5530694757,-1.0654350949,0.5123656192
11.0031176096,0.5762142571,-1.0642606630,0.4880464058
11.0032176096,0.6101898837,-1.0615157036,0.4513258199
11.0033176096,0.6432683549,-1.0572554851,0.4139871302
11.0034176096,0.6753833483,-1.0514639607,0.3760806124
11.0035176096,0.7065883971,-1.0441788297,0.3375904326
11.0036176096,0.7367938461,-1.0353832041,0.2985893580
11.0037176096,0.7658330394,-1.0250049069,0.2591718674
11.0038176096,0.7937114773,-1.0130517716,0.2193402943
11.0039176096,0.8204590252,-0.9995870599,0.1791280347
11.0040000000,0.8415594926,-0.9873648317,0.1458053391
11.0040505000,0.8538456799,-0.9791839642,0.1253382843
11.0041176096,0.8697983935,-0.9678373284,0.0980389348
11.0042176096,0.8927750713,-0.9500135558,0.0572384846
11.0043176096,0.9144587669,-0.9308449855,0.0163862187
11.0044176096,0.9347953767,-0.9103419356,-0.0244534411
11.0045176096,0.9538392672,-0.8885243737,-0.0653148936
11.0046176096,0.9715193771,-0.8654117410,-0.1061076361
11.0047176096,0.9876859861,-0.8409935424,-0.1466924436
11.0048176096,1.0023463914,-0.8152763577,-0.1870700337
11.0049176096,1.0155491761,-0.7883196125,-0.2272295637
11.0050000000,1.0252728483,-0.7652243564,-0.2600484919
11.0050505000,1.0304746757,-0.7505598153,-0.2799148603
11.0051176096,1.0369157714,-0.7306907173,-0.3062250541
11.0052176096,1.0455526512,-0.7003796197,-0.3451730315
11.0053176096,1.0526887185,-0.6690897193,-0.3835989992
11.0054176096,1.0582899551,-0.6368561991,-0.4214337560
11.0055176096,1.0624036563,-0.6036783922,-0.4587252641
11.0056176096,1.0649876869,-0.5696092423,-0.4953784446
11.0057176096,1.0659310316,-0.5347014620,-0.5312295696
11.0058176096,1.0652417237,-0.4989594206,-0.5662823031
11.0059176096,1.0629800003,-0.4624300678,-0.6005499325
11.0060000000,1.0599130039,-0.4318197651,-0.6280932389
11.0060505000,1.0572740930,-0.4128037332,-0.6444703598
11.0061176096,1.0532669915,-0.3873010852,-0.6659659063
11.0062176096,1.0463082043,-0.3489098163,-0.6973983880
11.0063176096,1.0378589901,-0.3100480589,-0.7278109312
11.0064176096,1.0279103628,-0.2707707456,-0.7571396172
11.0065176096,1.0164956697,-0.2310566715,-0.7854389981
11.0066176096,1.0036078286,-0.1909845854,-0.8126232432
11.0067176096,0.9891906704,-0.1506627429,-0.8385279275
11.0068176096,0.9732517971,-0.1100926683,-0.8631591288
