All calculations,WEC
"Time in s","Power-Phasor, Active Power in MW"
11.0000000000,0.0067961300
11.0000505000,0.0079909838
11.0001176096,0.0079381840
11.0002176096,0.0078520373
11.0003176096,0.0077547306
11.0004176096,0.0076462510
11.0005176096,0.0075268184
11.0006176096,0.0073964559
11.0007176096,0.0072548613
11.0008176096,0.0071020908
11.0009176096,0.0069386244
11.0010000000,0.0067961293
11.0010505000,0.0079909838
11.0011176096,0.0079381839
11.0012176096,0.0078520372
11.0013176096,0.0077547304
11.0014176096,0.0076462508
11.0015176096,0.0075268181
11.0016176096,0.0073964555
11.0017176096,0.0072548608
11.0018176096,0.0071020903
11.0019176096,0.0069386238
11.0020000000,0.0067961286
11.0020505000,0.0079909837
11.0021176096,0.0079381838
11.0022176096,0.0078520370
11.0023176096,0.0077547302
11.0024176096,0.0076462505
11.0025176096,0.0075268178
11.0026176096,0.0073964551
11.0027176096,0.0072548604
11.0028176096,0.0071020897
11.0029176096,0.0069386231
11.0030000000,0.0067961278
11.0030505000,0.0079909836
11.0031176096,0.0079381837
11.0032176096,0.0078520369
11.0033176096,0.0077547300
11.0034176096,0.0076462503
11.0035176096,0.0075268174
11.0036176096,0.0073964547
11.0037176096,0.0072548599
11.0038176096,0.0071020891
11.0039176096,0.0069386225
11.0040000000,0.0067961271
11.0040505000,0.0079909835
11.0041176096,0.0079381836
11.0042176096,0.0078520367
11.0043176096,0.0077547298
11.0044176096,0.0076462500
11.0045176096,0.0075268171
11.0046176096,0.0073964543
11.0047176096,0.0072548594
11.0048176096,0.0071020886
11.0049176096,0.0069386218
11.0050000000,0.0067961264
11.0050505000,0.0079909835
11.0051176096,0.0079381835
11.0052176096,0.0078520366
11.0053176096,0.0077547296
11.0054176096,0.0076462498
11.0055176096,0.0075268168
11.0056176096,0.0073964539
11.0057176096,0.0072548589
11.0058176096,0.0071020880
11.0059176096,0.0069386212
11.0060000000,0.0067961256
11.0060505000,0.0079909834
11.0061176096,0.0079381834
11.0062176096,0.0078520364
11.0063176096,0.0077547294
11.0064176096,0.0076462495
11.0065176096,0.0075268165
11.0066176096,0.0073964535
11.0067176096,0.0072548584
11.0068176096,0.0071020875
11.0069176096,0.0069386205
11.0070000000,0.0067961249
11.0070505000,0.0079909833
11.0071176096,0.0079381833
11.0072176096,0.0078520363
11.0073176096,0.0077547292
11.0074176096,0.0076462492
11.0075176096,0.0075268161
11.0076176096,0.0073964531
11.0077176096,0.0072548580
11.0078176096,0.0071020869
11.0079176096,0.0069386199
11.0080000000,0.0067961242
11.0080505000,0.0079909833
11.0081176096,0.0079381832
11.0082176096,0.0078520361
11.0083176096,0.0077547290
11.0084176096,0.0076462490
11.0085176096,0.0075268158
11.0086176096,0.0073964527
11.0087176096,0.0072548575
11.0088176096,0.0071020863
11.0089176096,0.0069386192
11.0090000000,0.0067961234
11.0090505000,0.0079909832
11.0091176096,0.0079381831
11.0092176096,0.0078520360
11.0093176096,0.0077547288
11.0094176096,0.0076462487
11.0095176096,0.0075268155
11.0096176096,0.0073964523
11.0097176096,0.0072548570
11.0098176096,0.0071020858
11.0099176096,0.0069386185
11.0100000000,0.0067961227
11.0100505000,0.0079909831
11.0101176096,0.0079381831
11.0102176096,0.0078520359
11.0103176096,0.0077547286
11.0104176096,0.0076462485
11.0105176096,0.0075268152
11.0106176096,0.0073964519
11.0107176096,0.0072548565
11.0108176096,0.0071020852
11.0109176096,0.0069386179
11.0110000000,0.0067961220
11.0110505000,0.0079909831
11.0111176096,0.0079381829
11.0112176096,0.0078520357
11.0113176096,0.0077547284
11.0114176096,0.0076462482
11.0115176096,0.0075268148
11.0116176096,0.0073964515
11.0117176096,0.0072548561
11.0118176096,0.0071020847
11.0119176096,0.0069386173
11.0120000000,0.0067961212
11.0120505000,0.0079909830
11.0121176096,0.0079381829
11.0122176096,0.0078520356
11.0123176096,0.0077547282
11.0124176096,0.0076462479
11.0125176096,0.0075268145
11.0126176096,0.0073964511
11.0127176096,0.0072548556
11.0128176096,0.0071020841
11.0129176096,0.0069386166
11.0130000000,0.0067961205
11.0130505000,0.0079909829
11.0131176096,0.0079381828
11.0132176096,0.0078520354
11.0133176096,0.0077547280
11.0134176096,0.0076462477
11.0135176096,0.0075268142
11.0136176096,0.0073964507
11.0137176096,0.0072548551
11.0138176096,0.0071020835
11.0139176096,0.0069386160
11.0140000000,0.0067961198
11.0140505000,0.0079909828
11.0141176096,0.0079381826
11.0142176096,0.0078520353
11.0143176096,0.0077547278
11.0144176096,0.0076462474
11.0145176096,0.0075268138
11.0146176096,0.0073964503
11.0147176096,0.0072548546
11.0148176096,0.0071020830
11.0149176096,0.0069386153
11.0150000000,0.0067961190
11.0150505000,0.0079909828
11.0151176096,0.0079381825
11.0152176096,0.0078520351
11.0153176096,0.0077547276
11.0154176096,0.0076462472
11.0155176096,0.0075268135
11.0156176096,0.0073964499
11.0157176096,0.0072548542
11.0158176096,0.0071020824
11.0159176096,0.0069386147
11.0160000000,0.0067961183
11.0160505000,0.0079909827
11.0161176096,0.0079381825
11.0162176096,0.0078520350
11.0163176096,0.0077547274
11.0164176096,0.0076462469
11.0165176096,0.0075268132
11.0166176096,0.0073964495
11.0167176096,0.0072548537
11.0168176096,0.0071020819
11.0169176096,0.0069386140
11.0170000000,0.0067961176
11.0170505000,0.0079909826
11.0171176096,0.0079381824
11.0172176096,0.0078520348
11.0173176096,0.0077547272
11.0174176096,0.0076462466
11.0175176096,0.0075268129
11.0176176096,0.0073964491
11.0177176096,0.0072548532
11.0178176096,0.0071020813
11.0179176096,0.0069386134
11.0180000000,0.0067961169
11.0180505000,0.0079909826
11.0181176096,0.0079381823
11.0182176096,0.0078520347
11.0183176096,0.0077547270
11.0184176096,0.0076462464
11.0185176096,0.0075268126
11.0186176096,0.0073964487
11.0187176096,0.0072548527
11.0188176096,0.0071020807
11.0189176096,0.0069386127
11.0190000000,0.0067961161
11.0190505000,0.0079909825
11.0191176096,0.0079381822
11.0192176096,0.0078520345
11.0193176096,0.0077547268
11.0194176096,0.0076462461
11.0195176096,0.0075268122
11.0196176096,0.0073964483
11.0197176096,0.0072548522
11.0198176096,0.0071020802
11.0199176096,0.0069386120
11.0200000000,0.0067961154
11.0200505000,0.0079909824
11.0201176096,0.0079381820
11.0202176096,0.0078520344
11.0203176096,0.0077547266
11.0204176096,0.0076462458
11.0205176096,0.0075268119
11.0206176096,0.0073964479
11.0207176096,0.0072548518
11.0208176096,0.0071020796
11.0209176096,0.0069386114
11.0210000000,0.0067961147
11.0210505000,0.0079909823
11.0211176096,0.0079381820
11.0212176096,0.0078520342
11.0213176096,0.0077547264
11.0214176096,0.0076462456
11.0215176096,0.0075268116
11.0216176096,0.0073964475
11.0217176096,0.0072548513
11.0218176096,0.0071020791
11.0219176096,0.0069386108
11.0220000000,0.0067961140
11.0220505000,0.0079909823
11.0221176096,0.0079381819
11.0222176096,0.0078520341
11.0223176096,0.0077547262
11.0224176096,0.0076462454
11.0225176096,0.0075268113
11.0226176096,0.0073964471
11.0227176096,0.0072548508
11.0228176096,0.0071020785
11.0229176096,0.0069386101
11.0230000000,0.0067961132
11.0230505000,0.0079909822
11.0231176096,0.0079381818
11.0232176096,0.0078520340
11.0233176096,0.0077547260
11.0234176096,0.0076462451
11.0235176096,0.0075268109
11.0236176096,0.0073964467
11.0237176096,0.0072548504
11.0238176096,0.0071020780
11.0239176096,0.0069386095
11.0240000000,0.0067961125
11.0240505000,0.0079909821
11.0241176096,0.0079381817
11.0242176096,0.0078520338
11.0243176096,0.0077547258
11.0244176096,0.0076462448
11.0245176096,0.0075268106
11.0246176096,0.0073964463
11.0247176096,0.0072548499
11.0248176096,0.0071020774
11.0249176096,0.0069386088
11.0250000000,0.0067961118
11.0250505000,0.0079909821
11.0251176096,0.0079381816
11.0252176096,0.0078520337
11.0253176096,0.0077547256
11.0254176096,0.0076462446
11.0255176096,0.0075268103
11.0256176096,0.0073964459
11.0257176096,0.0072548494
11.0258176096,0.0071020768
11.0259176096,0.0069386082
11.0260000000,0.0067961110
11.0260505000,0.0079909820
11.0261176096,0.0079381815
11.0262176096,0.0078520335
11.0263176096,0.0077547254
11.0264176096,0.0076462443
11.0265176096,0.0075268100
11.0266176096,0.0073964455
11.0267176096,0.0072548489
11.0268176096,0.0071020763
11.0269176096,0.0069386075
11.0270000000,0.0067961103
11.0270505000,0.0079909819
11.0271176096,0.0079381814
11.0272176096,0.0078520334
11.0273176096,0.0077547253
11.0274176096,0.0076462441
11.0275176096,0.0075268097
11.0276176096,0.0073964451
