All calculations,WEC
"Time in s","Power Phasor, Reactive Part in Mvar"
11.0000000000,0.0046105412
11.0000505000,0.0018858466
11.0001176096,0.0020904630
11.0002176096,0.0023936363
11.0003176096,0.0026931653
11.0004176096,0.0029885171
11.0005176096,0.0032800538
11.0006176096,0.0035670418
11.0007176096,0.0038482293
11.0008176096,0.0041236424
11.0009176096,0.0043933674
11.0010000000,0.0046105424
11.0010505000,0.0018858470
11.0011176096,0.0020904635
11.0012176096,0.0023936369
11.0013176096,0.0026931660
11.0014176096,0.0029885178
11.0015176096,0.0032800546
11.0016176096,0.0035670427
11.0017176096,0.0038482302
11.0018176096,0.0041236434
11.0019176096,0.0043933685
11.0020000000,0.0046105435
11.0020505000,0.0018858474
11.0021176096,0.0020904640
11.0022176096,0.0023936375
11.0023176096,0.0026931666
11.0024176096,0.0029885185
11.0025176096,0.0032800555
11.0026176096,0.0035670436
11.0027176096,0.0038482312
11.0028176096,0.0041236445
11.0029176096,0.0043933696
11.0030000000,0.0046105446
11.0030505000,0.0018858479
11.0031176096,0.0020904645
11.0032176096,0.0023936380
11.0033176096,0.0026931673
11.0034176096,0.0029885193
11.0035176096,0.0032800563
11.0036176096,0.0035670445
11.0037176096,0.0038482321
11.0038176096,0.0041236455
11.0039176096,0.0043933707
11.0040000000,0.0046105457
11.0040505000,0.0018858483
11.0041176096,0.0020904650
11.0042176096,0.0023936386
11.0043176096,0.0026931680
11.0044176096,0.0029885200
11.0045176096,0.0032800571
11.0046176096,0.0035670454
11.0047176096,0.0038482331
11.0048176096,0.0041236465
11.0049176096,0.0043933718
11.0050000000,0.0046105469
11.0050505000,0.0018858487
11.0051176096,0.0020904655
11.0052176096,0.0023936392
11.0053176096,0.0026931686
11.0054176096,0.0029885208
11.0055176096,0.0032800579
11.0056176096,0.0035670463
11.0057176096,0.0038482341
11.0058176096,0.0041236475
11.0059176096,0.0043933728
11.0060000000,0.0046105480
11.0060505000,0.0018858491
11.0061176096,0.0020904660
11.0062176096,0.0023936397
11.0063176096,0.0026931693
11.0064176096,0.0029885215
11.0065176096,0.0032800587
11.0066176096,0.0035670472
11.0067176096,0.0038482350
11.0068176096,0.0041236486
11.0069176096,0.0043933739
11.0070000000,0.0046105491
11.0070505000,0.0018858496
11.0071176096,0.0020904664
11.0072176096,0.0023936403
11.0073176096,0.0026931699
11.0074176096,0.0029885223
11.0075176096,0.0032800595
11.0076176096,0.0035670481
11.0077176096,0.0038482360
11.0078176096,0.0041236496
11.0079176096,0.0043933750
11.0080000000,0.0046105502
11.0080505000,0.0018858500
11.0081176096,0.0020904669
11.0082176096,0.0023936409
11.0083176096,0.0026931706
11.0084176096,0.0029885230
11.0085176096,0.0032800604
11.0086176096,0.0035670490
11.0087176096,0.0038482369
11.0088176096,0.0041236506
11.0089176096,0.0043933761
11.0090000000,0.0046105514
11.0090505000,0.0018858504
11.0091176096,0.0020904674
11.0092176096,0.0023936415
11.0093176096,0.0026931712
11.0094176096,0.0029885237
11.0095176096,0.0032800612
11.0096176096,0.0035670499
11.0097176096,0.0038482379
11.0098176096,0.0041236516
11.0099176096,0.0043933772
11.0100000000,0.0046105525
11.0100505000,0.0018858509
11.0101176096,0.0020904679
11.0102176096,0.0023936420
11.0103176096,0.0026931719
11.0104176096,0.0029885245
11.0105176096,0.0032800620
11.0106176096,0.0035670507
11.0107176096,0.0038482389
11.0108176096,0.0041236527
11.0109176096,0.0043933782
11.0110000000,0.0046105536
11.0110505000,0.0018858513
11.0111176096,0.0020904684
11.0112176096,0.0023936426
11.0113176096,0.0026931725
11.0114176096,0.0029885252
11.0115176096,0.0032800628
11.0116176096,0.0035670516
11.0117176096,0.0038482398
11.0118176096,0.0041236537
11.0119176096,0.0043933793
11.0120000000,0.0046105547
11.0120505000,0.0018858517
11.0121176096,0.0020904689
11.0122176096,0.0023936432
11.0123176096,0.0026931732
11.0124176096,0.0029885259
11.0125176096,0.0032800636
11.0126176096,0.0035670525
11.0127176096,0.0038482408
11.0128176096,0.0041236547
11.0129176096,0.0043933804
11.0130000000,0.0046105559
11.0130505000,0.0018858521
11.0131176096,0.0020904694
11.0132176096,0.0023936437
11.0133176096,0.0026931739
11.0134176096,0.0029885267
11.0135176096,0.0032800644
11.0136176096,0.0035670534
11.0137176096,0.0038482417
11.0138176096,0.0041236557
11.0139176096,0.0043933815
11.0140000000,0.0046105570
11.0140505000,0.0018858525
11.0141176096,0.0020904698
11.0142176096,0.0023936443
11.0143176096,0.0026931745
11.0144176096,0.0029885274
11.0145176096,0.0032800652
11.0146176096,0.0035670543
11.0147176096,0.0038482427
11.0148176096,0.0041236567
11.0149176096,0.0043933826
11.0150000000,0.0046105581
11.0150505000,0.0018858530
11.0151176096,0.0020904703
11.0152176096,0.0023936449
11.0153176096,0.0026931752
11.0154176096,0.0029885281
11.0155176096,0.0032800661
11.0156176096,0.0035670552
11.0157176096,0.0038482436
11.0158176096,0.0041236578
11.0159176096,0.0043933836
11.0160000000,0.0046105592
11.0160505000,0.0018858534
11.0161176096,0.0020904708
11.0162176096,0.0023936455
11.0163176096,0.0026931758
11.0164176096,0.0029885289
11.0165176096,0.0032800669
11.0166176096,0.0035670561
11.0167176096,0.0038482446
11.0168176096,0.0041236588
11.0169176096,0.0043933847
11.0170000000,0.0046105603
11.0170505000,0.0018858538
11.0171176096,0.0020904713
11.0172176096,0.0023936460
11.0173176096,0.0026931765
11.0174176096,0.0029885296
11.0175176096,0.0032800677
11.0176176096,0.0035670569
11.0177176096,0.0038482455
11.0178176096,0.0041236598
11.0179176096,0.0043933858
11.0180000000,0.0046105615
11.0180505000,0.0018858542
11.0181176096,0.0020904718
11.0182176096,0.0023936466
11.0183176096,0.0026931771
11.0184176096,0.0029885304
11.0185176096,0.0032800685
11.0186176096,0.0035670578
11.0187176096,0.0038482465
11.0188176096,0.0041236608
11.0189176096,0.0043933869
11.0190000000,0.0046105626
11.0190505000,0.0018858547
11.0191176096,0.0020904723
11.0192176096,0.0023936472
11.0193176096,0.0026931778
11.0194176096,0.0029885311
11.0195176096,0.0032800693
11.0196176096,0.0035670587
11.0197176096,0.0038482475
11.0198176096,0.0041236618
11.0199176096,0.0043933879
11.0200000000,0.0046105637
11.0200505000,0.0018858551
11.0201176096,0.0020904727
11.0202176096,0.0023936477
11.0203176096,0.0026931784
11.0204176096,0.0029885318
11.0205176096,0.0032800701
11.0206176096,0.0035670596
11.0207176096,0.0038482484
11.0208176096,0.0041236629
11.0209176096,0.0043933890
11.0210000000,0.0046105648
11.0210505000,0.0018858555
11.0211176096,0.0020904732
11.0212176096,0.0023936483
11.0213176096,0.0026931791
11.0214176096,0.0029885326
11.0215176096,0.0032800709
11.0216176096,0.0035670605
11.0217176096,0.0038482493
11.0218176096,0.0041236639
11.0219176096,0.0043933901
11.0220000000,0.0046105659
11.0220505000,0.0018858559
11.0221176096,0.0020904737
11.0222176096,0.0023936489
11.0223176096,0.0026931797
11.0224176096,0.0029885333
11.0225176096,0.0032800717
11.0226176096,0.0035670613
11.0227176096,0.0038482503
11.0228176096,0.0041236649
11.0229176096,0.0043933911
11.0230000000,0.0046105671
11.0230505000,0.0018858563
11.0231176096,0.0020904742
11.0232176096,0.0023936494
11.0233176096,0.0026931804
11.0234176096,0.0029885340
11.0235176096,0.0032800725
11.0236176096,0.0035670622
11.0237176096,0.0038482513
11.0238176096,0.0041236659
11.0239176096,0.0043933922
11.0240000000,0.0046105682
11.0240505000,0.0018858568
11.0241176096,0.0020904747
11.0242176096,0.0023936500
11.0243176096,0.0026931810
11.0244176096,0.0029885348
11.0245176096,0.0032800734
11.0246176096,0.0035670631
11.0247176096,0.0038482522
11.0248176096,0.0041236669
11.0249176096,0.0043933933
11.0250000000,0.0046105693
11.0250505000,0.0018858572
11.0251176096,0.0020904751
11.0252176096,0.0023936506
11.0253176096,0.0026931817
11.0254176096,0.0029885355
11.0255176096,0.0032800742
11.0256176096,0.0035670640
11.0257176096,0.0038482532
11.0258176096,0.0041236679
11.0259176096,0.0043933944
11.0260000000,0.0046105704
11.0260505000,0.0018858576
11.0261176096,0.0020904756
11.0262176096,0.0023936511
11.0263176096,0.0026931823
11.0264176096,0.0029885362
11.0265176096,0.0032800750
11.0266176096,0.0035670649
11.0267176096,0.0038482541
11.0268176096,0.0041236689
11.0269176096,0.0043933954
11.0270000000,0.0046105715
11.0270505000,0.0018858580
11.0271176096,0.0020904761
11.0272176096,0.0023936517
11.0273176096,0.0026931830
11.0274176096,0.0029885369
11.0275176096,0.0032800758
11.0276176096,0.0035670657
11.0277176096,0.0038482550
11.0278176096,0.0041236699
11.0279176096,0.0043933965
11.0280000000,0.0046105726
11.0280505000,0.0018858584
11.0281176096,0.0020904766
11.0282176096,0.0023936522
11.0283176096,0.0026931836
11.0284176096,0.0029885377
11.0285176096,0.0032800766
11.0286176096,0.0035670666
11.0287176096,0.0038482560
11.0288176096,0.0041236710
11.0289176096,0.0043933976
11.0290000000,0.0046105737
11.0290505000,0.0018858589
11.0291176096,0.0020904771
11.0292176096,0.0023936528
11.0293176096,0.0026931843
11.0294176096,0.0029885384
11.0295176096,0.0032800774
11.0296176096,0.0035670675
11.0297176096,0.0038482569
11.0298176096,0.0041236720
11.0299176096,0.0043933986
11.0300000000,0.0046105749
11.0300505000,0.0018858593
11.0301176096,0.0020904775
11.0302176096,0.0023936534
11.0303176096,0.0026931849
11.0304176096,0.0029885391
11.0305176096,0.0032800782
11.0306176096,0.0035670684
11.0307176096,0.0038482579
11.0308176096,0.0041236730
11.0309176096,0.0043933997
11.0310000000,0.0046105760
11.0310505000,0.0018858597
11.0311176096,0.0020904780
11.0312176096,0.0023936540
11.0313176096,0.0026931856
11.0314176096,0.0029885399
11.0315176096,0.0032800790
11.0316176096,0.0035670693
11.0317176096,0.0038482588
11.0318176096,0.0041236740
11.0319176096,0.0043934008
11.0320000000,0.0046105771
11.0320505000,0.0018858601
11.0321176096,0.0020904785
11.0322176096,0.0023936545
11.0323176096,0.0026931862
11.0324176096,0.0029885406
11.0325176096,0.0032800798
11.0326176096,0.0035670701
11.0327176096,0.0038482598
11.0328176096,0.0041236750
11.0329176096,0.0043934018
11.0330000000,0.0046105782
11.0330505000,0.0018858605
11.0331176096,0.0020904790
11.0332176096,0.0023936551
11.0333176096,0.0026931869
11.0334176096,0.0029885413
11.0335176096,0.0032800806
11.0336176096,0.0035670710
11.0337176096,0.0038482607
11.0338176096,0.0041236760
11.0339176096,0.0043934029
11.0340000000,0.0046105793
11.0340505000,0.0018858609
11.0341176096,0.0020904794
11.0342176096,0.0023936556
11.0343176096,0.0026931875
11.0344176096,0.0029885420
11.0345176096,0.0032800814
11.0346176096,0.0035670719
11.0347176096,0.0038482617
11.0348176096,0.0041236770
11.0349176096,0.0043934040
11.0350000000,0.0046105804
11.0350505000,0.0018858614
11.0351176096,0.0020904799
11.0352176096,0.0023936562
11.0353176096,0.0026931882
11.0354176096,0.0029885428
11.0355176096,0.0032800822
11.0356176096,0.0035670728
11.0357176096,0.0038482626
11.0358176096,0.0041236780
11.0359176096,0.0043934051
11.0360000000,0.0046105815
11.0360505000,0.0018858618
11.0361176096,0.0020904804
11.0362176096,0.0023936568
11.0363176096,0.0026931888
11.0364176096,0.0029885435
11.0365176096,0.0032800830
11.0366176096,0.0035670736
11.0367176096,0.0038482636
11.0368176096,0.0041236791
11.0369176096,0.0043934061
11.0370000000,0.0046105826
11.0370505000,0.0018858622
11.0371176096,0.0020904809
11.0372176096,0.0023936573
11.0373176096,0.0026931894
11.0374176096,0.0029885442
11.0375176096,0.0032800838
11.0376176096,0.0035670745
11.0377176096,0.0038482645
11.0378176096,0.0041236800
11.0379176096,0.0043934072
11.0380000000,0.0046105837
11.0380505000,0.0018858626
11.0381176096,0.0020904813
11.0382176096,0.0023936579
11.0383176096,0.0026931901
11.0384176096,0.0029885449
11.0385176096,0.0032800846
11.0386176096,0.0035670754
11.0387176096,0.0038482654
11.0388176096,0.0041236810
