All calculations,WEC,WEC,WEC
"Time in s","Current, Magnitude A in kA","Current, Magnitude B in kA","Current, Magnitude C in kA"
10.0000000000,-0.0000437148,0.0000051924,0.0000385224
10.0000505000,-0.0000437148,0.0000051924,0.0000385224
10.0001176096,-0.0000437148,0.0000051924,0.0000385224
10.0002176096,-0.0000437148,0.0000051924,0.0000385224
10.0003176096,-0.0000437148,0.0000051924,0.0000385224
10.0004176096,-0.0000437148,0.0000051924,0.0000385224
10.0005176096,-0.0000437148,0.0000051924,0.0000385224
10.0006176096,-0.0000437148,0.0000051924,0.0000385224
10.0007176096,-0.0000437148,0.0000051924,0.0000385224
10.0008176096,-0.0000437148,0.0000051924,0.0000385224
10.0009176096,-0.0000437148,0.0000051924,0.0000385224
10.0010000000,-0.0000333388,-0.0000129507,0.0000462895
10.0010505000,-0.0000333388,-0.0000129507,0.0000462895
10.0011176096,-0.0000333388,-0.0000129507,0.0000462895
10.0012176096,-0.0000333388,-0.0000129507,0.0000462895
10.0013176096,-0.0000333388,-0.0000129507,0.0000462895
10.0014176096,-0.0000333388,-0.0000129507,0.0000462895
10.0015176096,-0.0000333388,-0.0000129507,0.0000462895
10.0016176096,-0.0000333388,-0.0000129507,0.0000462895
10.0017176096,-0.0000333388,-0.0000129507,0.0000462895
10.0018176096,-0.0000333388,-0.0000129507,0.0000462895
10.0019176096,-0.0000333388,-0.0000129507,0.0000462895
10.0020000000,-0.0000181191,-0.0000292121,0.0000473312
10.0020505000,-0.0000181191,-0.0000292121,0.0000473312
10.0021176096,-0.0000181191,-0.0000292121,0.0000473312
10.0022176096,-0.0000181191,-0.0000292121,0.0000473312
10.0023176096,-0.0000181191,-0.0000292121,0.0000473312
10.0024176096,-0.0000181191,-0.0000292121,0.0000473312
10.0025176096,-0.0000181191,-0.0000292121,0.0000473312
10.0026176096,-0.0000181191,-0.0000292121,0.0000473312
10.0027176096,-0.0000181191,-0.0000292121,0.0000473312
10.0028176096,-0.0000181191,-0.0000292121,0.0000473312
10.0029176096,-0.0000181191,-0.0000292121,0.0000473312
10.0030000000,-0.0000002669,-0.0000412294,0.0000414963
10.0030505000,-0.0000002669,-0.0000412294,0.0000414963
10.0031176096,-0.0000002669,-0.0000412294,0.0000414963
10.0032176096,-0.0000002669,-0.0000412294,0.0000414963
10.0033176096,-0.0000002669,-0.0000412294,0.0000414963
10.0034176096,-0.0000002669,-0.0000412294,0.0000414963
10.0035176096,-0.0000002669,-0.0000412294,0.0000414963
10.0036176096,-0.0000002669,-0.0000412294,0.0000414963
10.0037176096,-0.0000002669,-0.0000412294,0.0000414963
10.0038176096,-0.0000002669,-0.0000412294,0.0000414963
10.0039176096,-0.0000002669,-0.0000412294,0.0000414963
10.0040000000,0.0000176239,-0.0000472564,0.0000296325
10.0040505000,0.0000176239,-0.0000472564,0.0000296325
10.0041176096,0.0000176239,-0.0000472564,0.0000296325
10.0042176096,0.0000176239,-0.0000472564,0.0000296325
10.0043176096,0.0000176239,-0.0000472564,0.0000296325
10.0044176096,0.0000176239,-0.0000472564,0.0000296325
10.0045176096,0.0000176239,-0.0000472564,0.0000296325
10.0046176096,0.0000176239,-0.0000472564,0.0000296325
10.0047176096,0.0000176239,-0.0000472564,0.0000296325
10.0048176096,0.0000176239,-0.0000472564,0.0000296325
10.0049176096,0.0000176239,-0.0000472564,0.0000296325
10.0050000000,0.0000329541,-0.0000464177,0.0000134636
10.0050505000,0.0000329541,-0.0000464177,0.0000134636
10.0051176096,0.0000329541,-0.0000464177,0.0000134636
10.0052176096,0.0000329541,-0.0000464177,0.0000134636
10.0053176096,0.0000329541,-0.0000464177,0.0000134636
10.0054176096,0.0000329541,-0.0000464177,0.0000134636
10.0055176096,0.0000329541,-0.0000464177,0.0000134636
10.0056176096,0.0000329541,-0.0000464177,0.0000134636
10.0057176096,0.0000329541,-0.0000464177,0.0000134636
10.0058176096,0.0000329541,-0.0000464177,0.0000134636
10.0059176096,0.0000329541,-0.0000464177,0.0000134636
10.0060000000,0.0000434964,-0.0000388350,-0.0000046614
10.0060505000,0.0000434964,-0.0000388350,-0.0000046614
10.0061176096,0.0000434964,-0.0000388350,-0.0000046614
10.0062176096,0.0000434964,-0.0000388350,-0.0000046614
10.0063176096,0.0000434964,-0.0000388350,-0.0000046614
10.0064176096,0.0000434964,-0.0000388350,-0.0000046614
10.0065176096,0.0000434964,-0.0000388350,-0.0000046614
10.0066176096,0.0000434964,-0.0000388350,-0.0000046614
10.0067176096,0.0000434964,-0.0000388350,-0.0000046614
10.0068176096,0.0000434964,-0.0000388350,-0.0000046614
10.0069176096,0.0000434964,-0.0000388350,-0.0000046614
10.0070000000,0.0000477192,-0.0000256101,-0.0000221090
10.0070505000,0.0000477192,-0.0000256101,-0.0000221090
10.0071176096,0.0000477192,-0.0000256101,-0.0000221090
10.0072176096,0.0000477192,-0.0000256101,-0.0000221090
10.0073176096,0.0000477192,-0.0000256101,-0.0000221090
10.0074176096,0.0000477192,-0.0000256101,-0.0000221090
10.0075176096,0.0000477192,-0.0000256101,-0.0000221090
10.0076176096,0.0000477192,-0.0000256101,-0.0000221090
10.0077176096,0.0000477192,-0.0000256101,-0.0000221090
10.0078176096,0.0000477192,-0.0000256101,-0.0000221090
10.0079176096,0.0000477192,-0.0000256101,-0.0000221090
10.0080000000,0.0000450089,-0.0000086645,-0.0000363445
10.0080505000,0.0000450089,-0.0000086645,-0.0000363445
10.0081176096,0.0000450089,-0.0000086645,-0.0000363445
10.0082176096,0.0000450089,-0.0000086645,-0.0000363445
10.0083176096,0.0000450089,-0.0000086645,-0.0000363445
10.0084176096,0.0000450089,-0.0000086645,-0.0000363445
10.0085176096,0.0000450089,-0.0000086645,-0.0000363445
10.0086176096,0.0000450089,-0.0000086645,-0.0000363445
10.0087176096,0.0000450089,-0.0000086645,-0.0000363445
10.0088176096,0.0000450089,-0.0000086645,-0.0000363445
10.0089176096,0.0000450089,-0.0000086645,-0.0000363445
10.0090000000,0.0000357594,0.0000095400,-0.0000452994
10.0090505000,0.0000357594,0.0000095400,-0.0000452994
10.0091176096,0.0000357594,0.0000095400,-0.0000452994
10.0092176096,0.0000357594,0.0000095400,-0.0000452994
10.0093176096,0.0000357594,0.0000095400,-0.0000452994
10.0094176096,0.0000357594,0.0000095400,-0.0000452994
10.0095176096,0.0000357594,0.0000095400,-0.0000452994
10.0096176096,0.0000357594,0.0000095400,-0.0000452994
10.0097176096,0.0000357594,0.0000095400,-0.0000452994
10.0098176096,0.0000357594,0.0000095400,-0.0000452994
10.0099176096,0.0000357594,0.0000095400,-0.0000452994
10.0100000000,0.0000213145,0.0000263583,-0.0000476728
10.0100505000,0.0000213145,0.0000263583,-0.0000476728
10.0101176096,0.0000213145,0.0000263583,-0.0000476728
10.0102176096,0.0000213145,0.0000263583,-0.0000476728
10.0103176096,0.0000213145,0.0000263583,-0.0000476728
10.0104176096,0.0000213145,0.0000263583,-0.0000476728
10.0105176096,0.0000213145,0.0000263583,-0.0000476728
10.0106176096,0.0000213145,0.0000263583,-0.0000476728
10.0107176096,0.0000213145,0.0000263583,-0.0000476728
10.0108176096,0.0000213145,0.0000263583,-0.0000476728
10.0109176096,0.0000213145,0.0000263583,-0.0000476728
10.0110000000,0.0000037729,0.0000393470,-0.0000431199
10.0110505000,0.0000037729,0.0000393470,-0.0000431199
10.0111176096,0.0000037729,0.0000393470,-0.0000431199
10.0112176096,0.0000037729,0.0000393470,-0.0000431199
10.0113176096,0.0000037729,0.0000393470,-0.0000431199
10.0114176096,0.0000037729,0.0000393470,-0.0000431199
10.0115176096,0.0000037729,0.0000393470,-0.0000431199
10.0116176096,0.0000037729,0.0000393470,-0.0000431199
10.0117176096,0.0000037729,0.0000393470,-0.0000431199
10.0118176096,0.0000037729,0.0000393470,-0.0000431199
10.0119176096,0.0000037729,0.0000393470,-0.0000431199
10.0120000000,-0.0000143168,0.0000466190,-0.0000323022
10.0120505000,-0.0000143168,0.0000466190,-0.0000323022
10.0121176096,-0.0000143168,0.0000466190,-0.0000323022
10.0122176096,-0.0000143168,0.0000466190,-0.0000323022
10.0123176096,-0.0000143168,0.0000466190,-0.0000323022
10.0124176096,-0.0000143168,0.0000466190,-0.0000323022
10.0125176096,-0.0000143168,0.0000466190,-0.0000323022
10.0126176096,-0.0000143168,0.0000466190,-0.0000323022
10.0127176096,-0.0000143168,0.0000466190,-0.0000323022
10.0128176096,-0.0000143168,0.0000466190,-0.0000323022
10.0129176096,-0.0000143168,0.0000466190,-0.0000323022
10.0130000000,-0.0000303263,0.0000471177,-0.0000167914
10.0130505000,-0.0000303263,0.0000471177,-0.0000167914
10.0131176096,-0.0000303263,0.0000471177,-0.0000167914
10.0132176096,-0.0000303263,0.0000471177,-0.0000167914
10.0133176096,-0.0000303263,0.0000471177,-0.0000167914
10.0134176096,-0.0000303263,0.0000471177,-0.0000167914
10.0135176096,-0.0000303263,0.0000471177,-0.0000167914
10.0136176096,-0.0000303263,0.0000471177,-0.0000167914
10.0137176096,-0.0000303263,0.0000471177,-0.0000167914
10.0138176096,-0.0000303263,0.0000471177,-0.0000167914
