All calculations,VPHa,VPHb,VPHc
"Time in s","Voltage in p.u.","Voltage in p.u.","Voltage in p.u."
11.0000,-0.6234,-0.4371,1.0605
11.0001,-0.6064,-0.4557,1.0621
11.0001,-0.5835,-0.4803,1.0638
11.0002,-0.5489,-0.5164,1.0653
11.0003,-0.5135,-0.5518,1.0653
11.0004,-0.4773,-0.5864,1.0637
11.0005,-0.4405,-0.6201,1.0606
11.0006,-0.4030,-0.6530,1.0560
11.0007,-0.3649,-0.6849,1.0498
11.0008,-0.3262,-0.7157,1.0419
11.0009,-0.2870,-0.7455,1.0326
11.0010,-0.2544,-0.7692,1.0237
11.0011,-0.2343,-0.7832,1.0175
11.0011,-0.2074,-0.8014,1.0088
11.0012,-0.1672,-0.8277,0.9949
11.0013,-0.1267,-0.8529,0.9795
11.0014,-0.0860,-0.8768,0.9628
11.0015,-0.0452,-0.8995,0.9447
11.0016,-0.0043,-0.9209,0.9252
11.0017,0.0365,-0.9408,0.9043
11.0018,0.0773,-0.9594,0.8820
11.0019,0.1181,-0.9765,0.8584
11.0020,0.1516,-0.9895,0.8380
11.0021,0.1719,-0.9968,0.8249
11.0021,0.1989,-1.0059,0.8071
11.0022,0.2389,-1.0187,0.7798
11.0023,0.2785,-1.0299,0.7514
11.0024,0.3178,-1.0397,0.7219
11.0025,0.3566,-1.0480,0.6914
11.0026,0.3949,-1.0548,0.6599
11.0027,0.4326,-1.0600,0.6274
11.0028,0.4697,-1.0635,0.5939
11.0029,0.5061,-1.0655,0.5594
11.0030,0.5355,-1.0659,0.5305
11.0031,0.5531,-1.0654,0.5124
11.0031,0.5762,-1.0643,0.4880
11.0032,0.6102,-1.0615,0.4513
11.0033,0.6433,-1.0573,0.4140
11.0034,0.6754,-1.0515,0.3761
11.0035,0.7066,-1.0442,0.3376
11.0036,0.7368,-1.0354,0.2986
11.0037,0.7658,-1.0250,0.2592
11.0038,0.7937,-1.0131,0.2193
11.0039,0.8205,-0.9996,0.1791
11.0040,0.8416,-0.9874,0.1458
11.0041,0.8538,-0.9792,0.1253
11.0041,0.8698,-0.9678,0.0980
11.0042,0.8928,-0.9500,0.0572
11.0043,0.9145,-0.9308,0.0164
11.0044,0.9348,-0.9103,-0.0245
11.0045,0.9538,-0.8885,-0.0653
11.0046,0.9715,-0.8654,-0.1061
11.0047,0.9877,-0.8410,-0.1467
11.0048,1.0023,-0.8153,-0.1871
11.0049,1.0155,-0.7883,-0.2272
11.0050,1.0253,-0.7652,-0.2600
11.0051,1.0305,-0.7506,-0.2799
11.0051,1.0369,-0.7307,-0.3062
11.0052,1.0456,-0.7004,-0.3452
11.0053,1.0527,-0.6691,-0.3836
11.0054,1.0583,-0.6369,-0.4214
11.0055,1.0624,-0.6037,-0.4587
11.0056,1.0650,-0.5696,-0.4954
11.0057,1.0659,-0.5347,-0.5312
11.0058,1.0652,-0.4990,-0.5663
11.0059,1.0630,-0.4624,-0.6005
11.0060,1.0599,-0.4318,-0.6281
11.0061,1.0573,-0.4128,-0.6445
11.0061,1.0533,-0.3873,-0.6660
11.0062,1.0463,-0.3489,-0.6974
11.0063,1.0379,-0.3100,-0.7278
11.0064,1.0279,-0.2708,-0.7571
11.0065,1.0165,-0.2311,-0.7854
11.0066,1.0036,-0.1910,-0.8126
11.0067,0.9892,-0.1507,-0.8385
11.0068,0.9733,-0.1101,-0.8632
11.0069,0.9559,-0.0693,-0.8866
11.0070,0.9404,-0.0356,-0.9048
11.0071,0.9303,-0.0150,-0.9153
11.0071,0.9165,0.0124,-0.9289
11.0072,0.8949,0.0533,-0.9482
11.0073,0.8721,0.0941,-0.9662
11.0074,0.8481,0.1347,-0.9828
11.0075,0.8228,0.1752,-0.9980
11.0076,0.7963,0.2154,-1.0117
11.0077,0.7686,0.2553,-1.0239
11.0078,0.7398,0.2948,-1.0345
11.0079,0.7097,0.3339,-1.0437
11.0080,0.6842,0.3657,-1.0500
11.0081,0.6681,0.3849,-1.0531
11.0081,0.6464,0.4103,-1.0567
11.0082,0.6134,0.4477,-1.0612
11.0083,0.5796,0.4845,-1.0641
11.0084,0.5449,0.5206,-1.0655
11.0085,0.5094,0.5559,-1.0654
11.0086,0.4732,0.5905,-1.0637
11.0087,0.4363,0.6241,-1.0604
11.0088,0.3987,0.6568,-1.0555
11.0089,0.3604,0.6886,-1.0490
11.0090,0.3285,0.7139,-1.0425
11.0091,0.3088,0.7289,-1.0377
11.0091,0.2824,0.7486,-1.0309
11.0092,0.2427,0.7771,-1.0198
11.0093,0.2028,0.8045,-1.0073
11.0094,0.1625,0.8307,-0.9933
11.0095,0.1220,0.8558,-0.9779
11.0096,0.0813,0.8797,-0.9610
11.0097,0.0405,0.9022,-0.9427
11.0098,-0.0003,0.9233,-0.9230
11.0099,-0.0413,0.9431,-0.9018
11.0100,-0.0749,0.9583,-0.8834
11.0101,-0.0955,0.9669,-0.8715
11.0101,-0.1227,0.9780,-0.8552
11.0102,-0.1633,0.9935,-0.8302
11.0103,-0.2035,1.0075,-0.8040
11.0104,-0.2435,1.0201,-0.7767
11.0105,-0.2831,1.0313,-0.7482
