All calculations,WEC
"Time in s","Power-Phasor, Active Power in MW"
11.0000,0.0068
11.0001,0.0080
11.0001,0.0079
11.0002,0.0079
11.0003,0.0078
11.0004,0.0076
11.0005,0.0075
11.0006,0.0074
11.0007,0.0073
11.0008,0.0071
11.0009,0.0069
11.0010,0.0068
11.0011,0.0080
11.0011,0.0079
11.0012,0.0079
11.0013,0.0078
11.0014,0.0076
11.0015,0.0075
11.0016,0.0074
11.0017,0.0073
11.0018,0.0071
11.0019,0.0069
11.0020,0.0068
11.0021,0.0080
11.0021,0.0079
11.0022,0.0079
11.0023,0.0078
11.0024,0.0076
11.0025,0.0075
11.0026,0.0074
11.0027,0.0073
11.0028,0.0071
11.0029,0.0069
11.0030,0.0068
11.0031,0.0080
11.0031,0.0079
11.0032,0.0079
11.0033,0.0078
11.0034,0.0076
11.0035,0.0075
11.0036,0.0074
11.0037,0.0073
11.0038,0.0071
11.0039,0.0069
11.0040,0.0068
11.0041,0.0080
11.0041,0.0079
11.0042,0.0079
11.0043,0.0078
11.0044,0.0076
11.0045,0.0075
11.0046,0.0074
11.0047,0.0073
11.0048,0.0071
11.0049,0.0069
11.0050,0.0068
11.0051,0.0080
11.0051,0.0079
11.0052,0.0079
11.0053,0.0078
11.0054,0.0076
11.0055,0.0075
11.0056,0.0074
11.0057,0.0073
11.0058,0.0071
11.0059,0.0069
11.0060,0.0068
11.0061,0.0080
11.0061,0.0079
11.0062,0.0079
11.0063,0.0078
11.0064,0.0076
11.0065,0.0075
11.0066,0.0074
11.0067,0.0073
11.0068,0.0071
11.0069,0.0069
11.0070,0.0068
11.0071,0.0080
11.0071,0.0079
11.0072,0.0079
11.0073,0.0078
11.0074,0.0076
11.0075,0.0075
11.0076,0.0074
11.0077,0.0073
11.0078,0.0071
11.0079,0.0069
11.0080,0.0068
11.0081,0.0080
11.0081,0.0079
11.0082,0.0079
11.0083,0.0078
11.0084,0.0076
11.0085,0.0075
11.0086,0.0074
11.0087,0.0073
11.0088,0.0071
11.0089,0.0069
11.0090,0.0068
11.0091,0.0080
11.0091,0.0079
11.0092,0.0079
11.0093,0.0078
11.0094,0.0076
11.0095,0.0075
11.0096,0.0074
11.0097,0.0073
11.0098,0.0071
11.0099,0.0069
11.0100,0.0068
11.0101,0.0080
11.0101,0.0079
11.0102,0.0079
11.0103,0.0078
11.0104,0.0076
11.0105,0.0075
11.0106,0.0074
11.0107,0.0073
11.0108,0.0071
11.0109,0.0069
11.0110,0.0068
11.0111,0.0080
11.0111,0.0079
11.0112,0.0079
11.0113,0.0078
11.0114,0.0076
11.0115,0.0075
11.0116,0.0074
11.0117,0.0073
11.0118,0.0071
11.0119,0.0069
11.0120,0.0068
11.0121,0.0080
11.0121,0.0079
11.0122,0.0079
11.0123,0.0078
11.0124,0.0076
11.0125,0.0075
11.0126,0.0074
11.0127,0.0073
11.0128,0.0071
11.0129,0.0069
11.0130,0.0068
11.0131,0.0080
11.0131,0.0079
11.0132,0.0079
11.0133,0.0078
11.0134,0.0076
11.0135,0.0075
11.0136,0.0074
11.0137,0.0073
11.0138,0.0071
11.0139,0.0069
11.0140,0.0068
11.0141,0.0080
11.0141,0.0079
11.0142,0.0079
11.0143,0.0078
11.0144,0.0076
11.0145,0.0075
11.0146,0.0074
11.0147,0.0073
11.0148,0.0071
11.0149,0.0069
11.0150,0.0068
11.0151,0.0080
11.0151,0.0079
11.0152,0.0079
11.0153,0.0078
11.0154,0.0076
11.0155,0.0075
11.0156,0.0074
11.0157,0.0073
11.0158,0.0071
11.0159,0.0069
11.0160,0.0068
11.0161,0.0080
11.0161,0.0079
11.0162,0.0079
11.0163,0.0078
11.0164,0.0076
11.0165,0.0075
11.0166,0.0074
11.0167,0.0073
11.0168,0.0071
11.0169,0.0069
11.0170,0.0068
11.0171,0.0080
11.0171,0.0079
11.0172,0.0079
11.0173,0.0078
11.0174,0.0076
11.0175,0.0075
11.0176,0.0074
11.0177,0.0073
11.0178,0.0071
11.0179,0.0069
11.0180,0.0068
11.0181,0.0080
11.0181,0.0079
11.0182,0.0079
11.0183,0.0078
11.0184,0.0076
11.0185,0.0075
11.0186,0.0074
11.0187,0.0073
11.0188,0.0071
11.0189,0.0069
11.0190,0.0068
11.0191,0.0080
11.0191,0.0079
11.0192,0.0079
11.0193,0.0078
11.0194,0.0076
11.0195,0.0075
11.0196,0.0074
11.0197,0.0073
11.0198,0.0071
11.0199,0.0069
11.0200,0.0068
11.0201,0.0080
11.0201,0.0079
11.0202,0.0079
11.0203,0.0078
11.0204,0.0076
11.0205,0.0075
11.0206,0.0074
11.0207,0.0073
11.0208,0.0071
11.0209,0.0069
11.0210,0.0068
11.0211,0.0080
11.0211,0.0079
11.0212,0.0079
11.0213,0.0078
11.0214,0.0076
11.0215,0.0075
11.0216,0.0074
11.0217,0.0073
11.0218,0.0071
11.0219,0.0069
11.0220,0.0068
11.0221,0.0080
11.0221,0.0079
11.0222,0.0079
11.0223,0.0078
11.0224,0.0076
11.0225,0.0075
11.0226,0.0074
11.0227,0.0073
11.0228,0.0071
11.0229,0.0069
11.0230,0.0068
11.0231,0.0080
11.0231,0.0079
11.0232,0.0079
11.0233,0.0078
11.0234,0.0076
11.0235,0.0075
11.0236,0.0074
11.0237,0.0073
11.0238,0.0071
11.0239,0.0069
11.0240,0.0068
11.0241,0.0080
11.0241,0.0079
11.0242,0.0079
11.0243,0.0078
11.0244,0.0076
11.0245,0.0075
11.0246,0.0074
11.0247,0.0073
11.0248,0.0071
11.0249,0.0069
11.0250,0.0068
11.0251,0.0080
11.0251,0.0079
11.0252,0.0079
11.0253,0.0078
11.0254,0.0076
11.0255,0.0075
11.0256,0.0074
11.0257,0.0073
11.0258,0.0071
11.0259,0.0069
11.0260,0.0068
11.0261,0.0080
11.0261,0.0079
11.0262,0.0079
11.0263,0.0078
11.0264,0.0076
11.0265,0.0075
11.0266,0.0074
11.0267,0.0073
11.0268,0.0071
11.0269,0.0069
11.0270,0.0068
11.0271,0.0080
11.0271,0.0079
11.0272,0.0079
11.0273,0.0078
11.0274,0.0076
11.0275,0.0075
11.0276,0.0074
11.0277,0.0073
11.0278,0.0071
11.0279,0.0069
11.0280,0.0068
11.0281,0.0080
11.0281,0.0079
11.0282,0.0079
11.0283,0.0078
11.0284,0.0076
11.0285,0.0075
11.0286,0.0074
11.0287,0.0073
11.0288,0.0071
11.0289,0.0069
11.0290,0.0068
11.0291,0.0080
11.0291,0.0079
11.0292,0.0079
11.0293,0.0078
11.0294,0.0076
11.0295,0.0075
11.0296,0.0074
11.0297,0.0073
11.0298,0.0071
11.0299,0.0069
11.0300,0.0068
11.0301,0.0080
11.0301,0.0079
11.0302,0.0079
11.0303,0.0078
11.0304,0.0076
11.0305,0.0075
11.0306,0.0074
11.0307,0.0073
11.0308,0.0071
11.0309,0.0069
11.0310,0.0068
11.0311,0.0080
11.0311,0.0079
11.0312,0.0079
11.0313,0.0078
11.0314,0.0076
11.0315,0.0075
11.0316,0.0074
11.0317,0.0073
11.0318,0.0071
11.0319,0.0069
11.0320,0.0068
11.0321,0.0080
11.0321,0.0079
11.0322,0.0079
11.0323,0.0078
11.0324,0.0076
11.0325,0.0075
11.0326,0.0074
11.0327,0.0073
11.0328,0.0071
11.0329,0.0069
11.0330,0.0068
11.0331,0.0080
11.0331,0.0079
11.0332,0.0079
11.0333,0.0078
11.0334,0.0076
11.0335,0.0075
11.0336,0.0074
11.0337,0.0073
11.0338,0.0071
11.0339,0.0069
11.0340,0.0068
11.0341,0.0080
11.0341,0.0079
11.0342,0.0079
11.0343,0.0078
11.0344,0.0076
11.0345,0.0075
11.0346,0.0074
11.0347,0.0073
11.0348,0.0071
11.0349,0.0069
11.0350,0.0068
11.0351,0.0080
11.0351,0.0079
11.0352,0.0079
11.0353,0.0078
11.0354,0.0076
11.0355,0.0075
11.0356,0.0074
11.0357,0.0073
11.0358,0.0071
11.0359,0.0069
11.0360,0.0068
11.0361,0.0080
11.0361,0.0079
11.0362,0.0079
11.0363,0.0078
11.0364,0.0076
11.0365,0.0075
11.0366,0.0074
11.0367,0.0073
11.0368,0.0071
11.0369,0.0069
11.0370,0.0068
11.0371,0.0080
11.0371,0.0079
11.0372,0.0079
11.0373,0.0078
11.0374,0.0076
11.0375,0.0075
11.0376,0.0074
11.0377,0.0073
11.0378,0.0071
11.0379,0.0069
11.0380,0.0068
11.0381,0.0080
11.0381,0.0079
11.0382,0.0079
11.0383,0.0078
11.0384,0.0076
11.0385,0.0075
11.0386,0.0074
11.0387,0.0073
11.0388,0.0071
11.0389,0.0069
11.0390,0.0068
11.0391,0.0080
11.0391,0.0079
11.0392,0.0079
11.0393,0.0078
11.0394,0.0076
11.0395,0.0075
11.0396,0.0074
11.0397,0.0073
11.0398,0.0071
11.0399,0.0069
11.0400,0.0068
11.0401,0.0080
11.0401,0.0079
11.0402,0.0079
11.0403,0.0078
11.0404,0.0076
11.0405,0.0075
11.0406,0.0074
11.0407,0.0073
11.0408,0.0071
11.0409,0.0069
11.0410,0.0068
11.0411,0.0080
11.0411,0.0079
11.0412,0.0079
11.0413,0.0078
11.0414,0.0076
11.0415,0.0075
11.0416,0.0074
11.0417,0.0073
11.0418,0.0071
11.0419,0.0069
11.0420,0.0068
11.0421,0.0080
11.0421,0.0079
11.0422,0.0079
11.0423,0.0078
11.0424,0.0076
11.0425,0.0075
11.0426,0.0074
11.0427,0.0073
11.0428,0.0071
11.0429,0.0069
11.0430,0.0068
11.0431,0.0080
11.0431,0.0079
11.0432,0.0079
11.0433,0.0078
11.0434,0.0076
11.0435,0.0075
11.0436,0.0074
11.0437,0.0073
11.0438,0.0071
11.0439,0.0069
11.0440,0.0068
11.0441,0.0080
11.0441,0.0079
11.0442,0.0079
11.0443,0.0078
11.0444,0.0076
11.0445,0.0075
11.0446,0.0074
11.0447,0.0073
11.0448,0.0071
11.0449,0.0069
11.0450,0.0068
11.0451,0.0080
11.0451,0.0079
11.0452,0.0079
11.0453,0.0078
11.0454,0.0076
11.0455,0.0075
11.0456,0.0074
11.0457,0.0073
11.0458,0.0071
11.0459,0.0069
11.0460,0.0068
11.0461,0.0080
11.0461,0.0079
11.0462,0.0079
11.0463,0.0078
11.0464,0.0076
11.0465,0.0075
11.0466,0.0074
11.0467,0.0073
11.0468,0.0071
11.0469,0.0069
11.0470,0.0068
11.0471,0.0080
11.0471,0.0079
11.0472,0.0079
11.0473,0.0078
11.0474,0.0076
11.0475,0.0075
11.0476,0.0074
11.0477,0.0073
11.0478,0.0071
11.0479,0.0069
11.0480,0.0068
11.0481,0.0080
11.0481,0.0079
11.0482,0.0079
11.0483,0.0078
11.0484,0.0076
11.0485,0.0075
11.0486,0.0074
11.0487,0.0073
11.0488,0.0071
11.0489,0.0069
11.0490,0.0068
11.0491,0.0080
11.0491,0.0079
11.0492,0.0079
11.0493,0.0078
11.0494,0.0076
11.0495,0.0075
11.0496,0.0074
11.0497,0.0073
11.0498,0.0071
11.0499,0.0069
11.0500,0.0068
11.0501,0.0080
11.0501,0.0079
11.0502,0.0079
11.0503,0.0078
11.0504,0.0076
11.0505,0.0075
11.0506,0.0074
11.0507,0.0073
11.0508,0.0071
11.0509,0.0069
11.0510,0.0068
11.0511,0.0080
11.0511,0.0079
11.0512,0.0079
11.0513,0.0078
11.0514,0.0076
11.0515,0.0075
11.0516,0.0074
11.0517,0.0073
11.0518,0.0071
11.0519,0.0069
11.0520,0.0068
11.0521,0.0080
11.0521,0.0079
11.0522,0.0079
11.0523,0.0078
11.0524,0.0076
11.0525,0.0075
11.0526,0.0074
11.0527,0.0073
11.0528,0.0071
11.0529,0.0069
11.0530,0.0068
11.0531,0.0080
11.0531,0.0079
11.0532,0.0079
11.0533,0.0078
11.0534,0.0076
11.0535,0.0075
11.0536,0.0074
11.0537,0.0073
11.0538,0.0071
11.0539,0.0069
11.0540,0.0068
11.0541,0.0080
11.0541,0.0079
11.0542,0.0079
11.0543,0.0078
11.0544,0.0076
11.0545,0.0075
11.0546,0.0074
11.0547,0.0073
11.0548,0.0071
11.0549,0.0069
11.0550,0.0068
11.0551,0.0080
11.0551,0.0079
11.0552,0.0079
11.0553,0.0078
11.0554,0.0076
11.0555,0.0075
11.0556,0.0074
11.0557,0.0073
11.0558,0.0071
11.0559,0.0069
11.0560,0.0068
11.0561,0.0080
11.0561,0.0079
11.0562,0.0079
11.0563,0.0078
11.0564,0.0076
11.0565,0.0075
11.0566,0.0074
11.0567,0.0073
11.0568,0.0071
11.0569,0.0069
11.0570,0.0068
11.0571,0.0080
11.0571,0.0079
11.0572,0.0079
11.0573,0.0078
11.0574,0.0076
11.0575,0.0075
11.0576,0.0074
11.0577,0.0073
11.0578,0.0071
11.0579,0.0069
11.0580,0.0068
11.0581,0.0080
11.0581,0.0079
11.0582,0.0079
11.0583,0.0078
11.0584,0.0076
11.0585,0.0075
11.0586,0.0074
11.0587,0.0073
11.0588,0.0071
11.0589,0.0069
11.0590,0.0068
11.0591,0.0080
11.0591,0.0079
11.0592,0.0079
11.0593,0.0078
11.0594,0.0076
11.0595,0.0075
11.0596,0.0074
11.0597,0.0073
11.0598,0.0071
11.0599,0.0069
11.0600,0.0068
11.0601,0.0080
11.0601,0.0079
11.0602,0.0079
11.0603,0.0078
11.0604,0.0076
11.0605,0.0075
11.0606,0.0074
11.0607,0.0073
11.0608,0.0071
11.0609,0.0069
11.0610,0.0068
11.0611,0.0080
11.0611,0.0079
11.0612,0.0079
11.0613,0.0078
11.0614,0.0076
11.0615,0.0075
11.0616,0.0074
11.0617,0.0073
11.0618,0.0071
11.0619,0.0069
11.0620,0.0068
11.0621,0.0080
11.0621,0.0079
11.0622,0.0079
11.0623,0.0078
11.0624,0.0076
11.0625,0.0075
11.0626,0.0074
11.0627,0.0073
11.0628,0.0071
11.0629,0.0069
11.0630,0.0068
11.0631,0.0080
11.0631,0.0079
11.0632,0.0079
11.0633,0.0078
11.0634,0.0076
11.0635,0.0075
11.0636,0.0074
11.0637,0.0073
11.0638,0.0071
11.0639,0.0069
11.0640,0.0068
11.0641,0.0080
11.0641,0.0079
11.0642,0.0079
11.0643,0.0078
11.0644,0.0076
11.0645,0.0075
11.0646,0.0074
11.0647,0.0073
11.0648,0.0071
11.0649,0.0069
11.0650,0.0068
11.0651,0.0080
11.0651,0.0079
11.0652,0.0079
11.0653,0.0078
11.0654,0.0076
11.0655,0.0075
11.0656,0.0074
11.0657,0.0073
11.0658,0.0071
11.0659,0.0069
11.0660,0.0068
11.0661,0.0080
11.0661,0.0079
11.0662,0.0079
11.0663,0.0078
11.0664,0.0076
11.0665,0.0075
11.0666,0.0074
11.0667,0.0073
11.0668,0.0071
11.0669,0.0069
11.0670,0.0068
11.0671,0.0080
11.0671,0.0079
11.0672,0.0079
11.0673,0.0078
11.0674,0.0076
11.0675,0.0075
11.0676,0.0074
11.0677,0.0073
11.0678,0.0071
11.0679,0.0069
11.0680,0.0068
11.0681,0.0080
11.0681,0.0079
11.0682,0.0079
11.0683,0.0078
11.0684,0.0076
11.0685,0.0075
11.0686,0.0074
11.0687,0.0073
11.0688,0.0071
11.0689,0.0069
11.0690,0.0068
11.0691,0.0080
11.0691,0.0079
11.0692,0.0079
11.0693,0.0078
11.0694,0.0076
11.0695,0.0075
11.0696,0.0074
11.0697,0.0073
11.0698,0.0071
11.0699,0.0069
11.0700,0.0068
11.0701,0.0080
11.0701,0.0079
11.0702,0.0079
11.0703,0.0078
11.0704,0.0076
11.0705,0.0075
11.0706,0.0074
11.0707,0.0073
11.0708,0.0071
11.0709,0.0069
11.0710,0.0068
11.0711,0.0080
11.0711,0.0079
11.0712,0.0079
11.0713,0.0078
11.0714,0.0076
11.0715,0.0075
11.0716,0.0074
11.0717,0.0073
11.0718,0.0071
11.0719,0.0069
11.0720,0.0068
11.0721,0.0080
11.0721,0.0079
11.0722,0.0079
11.0723,0.0078
11.0724,0.0076
11.0725,0.0075
11.0726,0.0074
11.0727,0.0073
11.0728,0.0071
11.0729,0.0069
11.0730,0.0068
11.0731,0.0080
11.0731,0.0079
11.0732,0.0079
11.0733,0.0078
11.0734,0.0076
11.0735,0.0075
11.0736,0.0074
11.0737,0.0073
11.0738,0.0071
11.0739,0.0069
11.0740,0.0068
11.0741,0.0080
11.0741,0.0079
11.0742,0.0079
11.0743,0.0078
11.0744,0.0076
11.0745,0.0075
11.0746,0.0074
11.0747,0.0073
11.0748,0.0071
11.0749,0.0069
11.0750,0.0068
11.0751,0.0080
11.0751,0.0079
11.0752,0.0079
11.0753,0.0078
11.0754,0.0076
11.0755,0.0075
11.0756,0.0074
11.0757,0.0073
11.0758,0.0071
11.0759,0.0069
11.0760,0.0068
11.0761,0.0080
11.0761,0.0079
11.0762,0.0079
11.0763,0.0078
11.0764,0.0076
11.0765,0.0075
11.0766,0.0074
11.0767,0.0073
11.0768,0.0071
11.0769,0.0069
11.0770,0.0068
11.0771,0.0080
11.0771,0.0079
11.0772,0.0079
11.0773,0.0078
11.0774,0.0076
11.0775,0.0075
11.0776,0.0074
11.0777,0.0073
11.0778,0.0071
11.0779,0.0069
11.0780,0.0068
11.0781,0.0080
11.0781,0.0079
11.0782,0.0079
11.0783,0.0078
11.0784,0.0076
11.0785,0.0075
11.0786,0.0074
11.0787,0.0073
11.0788,0.0071
11.0789,0.0069
11.0790,0.0068
11.0791,0.0080
11.0791,0.0079
11.0792,0.0079
11.0793,0.0078
11.0794,0.0076
11.0795,0.0075
11.0796,0.0074
11.0797,0.0073
11.0798,0.0071
11.0799,0.0069
11.0800,0.0068
11.0801,0.0080
11.0801,0.0079
11.0802,0.0079
11.0803,0.0078
11.0804,0.0076
11.0805,0.0075
11.0806,0.0074
11.0807,0.0073
11.0808,0.0071
11.0809,0.0069
11.0810,0.0068
11.0811,0.0080
11.0811,0.0079
11.0812,0.0079
11.0813,0.0078
11.0814,0.0076
11.0815,0.0075
11.0816,0.0074
11.0817,0.0073
11.0818,0.0071
11.0819,0.0069
11.0820,0.0068
11.0821,0.0080
11.0821,0.0079
11.0822,0.0079
11.0823,0.0078
11.0824,0.0076
11.0825,0.0075
11.0826,0.0074
11.0827,0.0073
11.0828,0.0071
11.0829,0.0069
11.0830,0.0068
11.0831,0.0080
11.0831,0.0079
11.0832,0.0079
11.0833,0.0078
11.0834,0.0076
11.0835,0.0075
11.0836,0.0074
11.0837,0.0073
11.0838,0.0071
11.0839,0.0069
11.0840,0.0068
11.0841,0.0080
11.0841,0.0079
11.0842,0.0079
11.0843,0.0078
11.0844,0.0076
11.0845,0.0075
11.0846,0.0074
11.0847,0.0073
11.0848,0.0071
11.0849,0.0069
11.0850,0.0068
11.0851,0.0080
11.0851,0.0079
11.0852,0.0079
11.0853,0.0078
11.0854,0.0076
11.0855,0.0075
11.0856,0.0074
11.0857,0.0073
11.0858,0.0071
11.0859,0.0069
11.0860,0.0068
11.0861,0.0080
11.0861,0.0079
11.0862,0.0079
11.0863,0.0078
11.0864,0.0076
11.0865,0.0075
11.0866,0.0074
11.0867,0.0073
11.0868,0.0071
11.0869,0.0069
11.0870,0.0068
11.0871,0.0080
11.0871,0.0079
11.0872,0.0079
11.0873,0.0078
11.0874,0.0076
11.0875,0.0075
11.0876,0.0074
11.0877,0.0073
11.0878,0.0071
11.0879,0.0069
11.0880,0.0068
11.0881,0.0080
11.0881,0.0079
11.0882,0.0079
11.0883,0.0078
11.0884,0.0076
11.0885,0.0075
11.0886,0.0074
11.0887,0.0073
11.0888,0.0071
11.0889,0.0069
11.0890,0.0068
11.0891,0.0080
11.0891,0.0079
11.0892,0.0079
11.0893,0.0078
11.0894,0.0076
11.0895,0.0075
11.0896,0.0074
11.0897,0.0073
11.0898,0.0071
11.0899,0.0069
11.0900,0.0068
11.0901,0.0080
11.0901,0.0079
11.0902,0.0079
11.0903,0.0078
11.0904,0.0076
11.0905,0.0075
11.0906,0.0074
11.0907,0.0073
11.0908,0.0071
11.0909,0.0069
11.0910,0.0068
11.0911,0.0080
11.0911,0.0079
11.0912,0.0079
11.0913,0.0078
11.0914,0.0076
11.0915,0.0075
11.0916,0.0074
11.0917,0.0073
11.0918,0.0071
11.0919,0.0069
11.0920,0.0068
11.0921,0.0080
11.0921,0.0079
11.0922,0.0079
11.0923,0.0078
11.0924,0.0076
11.0925,0.0075
11.0926,0.0074
11.0927,0.0073
11.0928,0.0071
11.0929,0.0069
11.0930,0.0068
11.0931,0.0080
11.0931,0.0079
11.0932,0.0079
11.0933,0.0078
11.0934,0.0076
11.0935,0.0075
11.0936,0.0074
11.0937,0.0073
11.0938,0.0071
11.0939,0.0069
11.0940,0.0068
11.0941,0.0080
11.0941,0.0079
11.0942,0.0079
11.0943,0.0078
11.0944,0.0076
11.0945,0.0075
11.0946,0.0074
11.0947,0.0073
11.0948,0.0071
11.0949,0.0069
11.0950,0.0068
11.0951,0.0080
11.0951,0.0079
11.0952,0.0079
11.0953,0.0078
11.0954,0.0076
11.0955,0.0075
11.0956,0.0074
11.0957,0.0073
11.0958,0.0071
11.0959,0.0069
11.0960,0.0068
11.0961,0.0080
11.0961,0.0079
11.0962,0.0079
11.0963,0.0078
11.0964,0.0076
11.0965,0.0075
11.0966,0.0074
11.0967,0.0073
11.0968,0.0071
11.0969,0.0069
11.0970,0.0068
11.0971,0.0080
11.0971,0.0079
11.0972,0.0079
11.0973,0.0078
11.0974,0.0076
11.0975,0.0075
11.0976,0.0074
11.0977,0.0073
11.0978,0.0071
11.0979,0.0069
11.0980,0.0068
11.0981,0.0080
11.0981,0.0079
11.0982,0.0079
11.0983,0.0078
11.0984,0.0076
11.0985,0.0075
11.0986,0.0074
11.0987,0.0073
11.0988,0.0071
11.0989,0.0069
11.0990,0.0068
11.0991,0.0080
11.0991,0.0079
11.0992,0.0079
11.0993,0.0078
11.0994,0.0076
11.0995,0.0075
11.0996,0.0074
11.0997,0.0073
11.0998,0.0071
11.0999,0.0069
11.1000,0.0068
11.1001,0.0080
11.1001,0.0079
11.1002,0.0079
11.1003,0.0078
11.1004,0.0076
11.1005,0.0075
11.1006,0.0074
11.1007,0.0073
11.1008,0.0071
11.1009,0.0069
11.1010,0.0068
11.1011,0.0080
11.1011,0.0079
11.1012,0.0079
11.1013,0.0078
11.1014,0.0076
11.1015,0.0075
11.1016,0.0074
11.1017,0.0073
11.1018,0.0071
11.1019,0.0069
11.1020,0.0068
11.1021,0.0080
11.1021,0.0079
11.1022,0.0079
11.1023,0.0078
11.1024,0.0076
11.1025,0.0075
11.1026,0.0074
11.1027,0.0073
11.1028,0.0071
11.1029,0.0069
11.1030,0.0068
11.1031,0.0080
11.1031,0.0079
11.1032,0.0079
11.1033,0.0078
11.1034,0.0076
11.1035,0.0075
11.1036,0.0074
11.1037,0.0073
11.1038,0.0071
11.1039,0.0069
11.1040,0.0068
11.1041,0.0080
11.1041,0.0079
11.1042,0.0079
11.1043,0.0078
11.1044,0.0076
11.1045,0.0075
11.1046,0.0074
