All calculations,WEC
"Time in s","Power Phasor, Reactive Part in Mvar"
10.0000000000,0.0046081143
10.0000505000,0.0018840729
10.0001176096,0.0020886246
10.0002176096,0.0023917068
10.0003176096,0.0026911495
10.0004176096,0.0029864192
10.0005176096,0.0032778819
10.0006176096,0.0035648033
10.0007176096,0.0038459293
10.0008176096,0.0041212889
10.0009176096,0.0043909709
10.0010000000,0.0046081167
10.0010505000,0.0018840744
10.0011176096,0.0020886262
10.0012176096,0.0023917085
10.0013176096,0.0026911512
10.0014176096,0.0029864211
10.0015176096,0.0032778839
10.0016176096,0.0035648054
10.0017176096,0.0038459315
10.0018176096,0.0041212912
10.0019176096,0.0043909733
10.0020000000,0.0046081191
10.0020505000,0.0018840758
10.0021176096,0.0020886277
10.0022176096,0.0023917102
10.0023176096,0.0026911530
10.0024176096,0.0029864230
10.0025176096,0.0032778859
10.0026176096,0.0035648076
10.0027176096,0.0038459337
10.0028176096,0.0041212935
10.0029176096,0.0043909756
10.0030000000,0.0046081215
10.0030505000,0.0018840773
10.0031176096,0.0020886293
10.0032176096,0.0023917119
10.0033176096,0.0026911549
10.0034176096,0.0029864249
10.0035176096,0.0032778879
10.0036176096,0.0035648097
10.0037176096,0.0038459360
10.0038176096,0.0041212958
10.0039176096,0.0043909780
10.0040000000,0.0046081239
10.0040505000,0.0018840789
10.0041176096,0.0020886309
10.0042176096,0.0023917136
10.0043176096,0.0026911567
10.0044176096,0.0029864269
10.0045176096,0.0032778900
10.0046176096,0.0035648118
10.0047176096,0.0038459382
10.0048176096,0.0041212981
10.0049176096,0.0043909804
10.0050000000,0.0046081263
10.0050505000,0.0018840803
10.0051176096,0.0020886325
10.0052176096,0.0023917153
10.0053176096,0.0026911585
10.0054176096,0.0029864288
10.0055176096,0.0032778920
10.0056176096,0.0035648140
10.0057176096,0.0038459404
10.0058176096,0.0041213004
10.0059176096,0.0043909828
10.0060000000,0.0046081287
10.0060505000,0.0018840818
10.0061176096,0.0020886341
10.0062176096,0.0023917170
10.0063176096,0.0026911603
10.0064176096,0.0029864307
10.0065176096,0.0032778940
10.0066176096,0.0035648161
10.0067176096,0.0038459426
10.0068176096,0.0041213027
10.0069176096,0.0043909851
