time,p
0,0
0.0001,742.126364218407
0.0002,1443.81626789031
0.0003,2106.97295679189
0.0004,2733.41847090381
0.0005,3324.89683856292
0.0006,3883.07715462375
0.0007,4409.5565464683
0.0008,4905.86303159223
0.0009,5373.45827038531
0.001,5813.74021761889
0.0011,6228.04567604812
0.0012,6617.65275543599
0.0013,6983.78324020641
0.0014,7327.60486883791
0.0015,7650.2335280141
0.0016,7952.73536445598
0.0017,8236.12881727105
0.0018,8501.38657356696
0.0019,8749.43744999223
0.002,8981.16820278401
0.0021,9197.42526882118
0.0022,9399.01644010347
0.0023,9586.71247400051
0.0024,9761.2486415394
0.0025,9923.32621592813
0.0026,10073.6139034411
0.0027,10212.7492187242
0.0028,10341.3398065108
0.0029,10459.9647116756
0.003,10569.1755994883
0.0031,10669.4979278711
0.0032,10761.4320734015
0.0033,10845.4544127472
0.0034,10922.0183611605
0.0035,10991.5553696085
0.0036,11054.47588206
0.0037,11111.1702544014
0.0038,11162.0096364016
0.0039,11207.3468180985
0.004,11247.5170419352
0.0041,11282.8387819249
0.0042,11313.6144910822
0.0043,11340.1313183154
0.0044,11362.6617959323
0.0045,11381.4644988731
0.0046,11396.784676744
0.0047,11408.8548596892
0.0048,11417.8954391006
0.0049,11424.1152241312
0.005,11427.7119749428
0.0051,11428.872913586
0.0052,11427.7752133796
0.0053,11424.5864676224
0.0054,11419.465138445
0.0055,11412.560986577
0.0056,11404.0154827767
0.0057,11393.9622016473
0.0058,11382.5271985316
0.0059,11369.8293701565
0.006,11355.9807996733
0.0061,11341.0870867135
0.0062,11325.2476630597
0.0063,11308.5560945085
0.0064,11291.1003694805
0.0065,11272.9631749115
0.0066,11254.2221599399
0.0067,11234.950187886
0.0068,11215.2155769997
0.0069,11195.0823304359
0.007,11174.610355898
0.0071,11153.8556753767
0.0072,11132.8706253897
0.0073,11111.7040481184
0.0074,11090.4014738177
0.0075,11069.0052948633
0.0076,11047.5549317861
0.0077,11026.0869916294
0.0078,11004.6354189527
0.0079,10983.2316397916
0.008,10961.9046988736
0.0081,10940.6813903752
0.0082,10919.586382497
0.0083,10898.6423361204
0.0084,10877.8700178014
0.0085,10857.2884073443
0.0086,10836.9148001913
0.0087,10816.7649048515
0.0088,10796.8529355872
0.0089,10777.1917005633
0.009,10757.7926856605
0.0091,10738.6661341422
0.0092,10719.8211223589
0.0093,10701.2656316669
0.0094,10683.0066167282
0.0095,10665.050070355
0.0096,10647.4010850543
0.0097,10630.0639114195
0.0098,10613.0420135138
0.0099,10596.3381213813
0.01,10579.9542808167
0.0101,10563.8919005201
0.0102,10548.1517967558
0.0103,10532.7342356331
0.0104,10517.6389731161
0.0105,10502.8652928713
0.0106,10488.4120420531
0.0107,10474.2776651243
0.0108,10460.4602358044
0.0109,10446.9574872351
0.011,10433.7668404476
0.0111,10420.8854312137
0.0112,10408.3101353578
0.0113,10396.0375926051
0.0114,10384.0642290372
0.0115,10372.3862782223
0.0116,10360.9998010869
0.0117,10349.9007045895
0.0118,10339.084759257
0.0119,10328.5476156406
0.012,10318.2848197449
0.0121,10308.2918274826
0.0122,10298.5640182046
0.0123,10289.0967073527
0.0124,10279.8851582795
0.0125,10270.9245932797
0.0126,10262.2102038732
0.0127,10253.7371603799
0.0128,10245.5006208229
0.0129,10237.495739197
0.013,10229.717673135
0.0131,10222.1615910063
0.0132,10214.8226784769
0.0133,10207.6961445617
0.0134,10200.7772271963
0.0135,10194.0611983559
0.0136,10187.5433687457
0.0137,10181.2190920888
0.0138,10175.0837690328
0.0139,10169.1328506985
0.014,10163.3618418908
0.0141,10157.7663039928
0.0142,10152.3418575601
0.0143,10147.0841846356
0.0144,10141.9890308
0.0145,10137.0522069753
0.0146,10132.2695909967
0.0147,10127.6371289666
0.0148,10123.1508364057
0.0149,10118.8067992142
0.015,10114.6011744547
0.0151,10110.53019097
0.0152,10106.5901498457
0.0153,10102.7774247296
0.0154,10099.0884620166
0.0155,10095.51978091
0.0156,10092.0679733671
0.0157,10088.7297039382
0.0158,10085.5017095073
0.0159,10082.3807989415
0.016,10079.3638526567
