time,p,q,v_a,v_b,v_c,i_a,i_b,i_c,p_kw,q_kw
11.0,0.0068,0.0046,-0.6234,-0.4371,1.0605,-0.035394054892,-0.009939624825,0.045333679717,6.8,4.6
11.001,0.0068,0.0046,-0.2544,-0.7692,1.0237,-0.020875654532,-0.026663212232,0.047538866764,6.8,4.6
11.002,0.0068,0.0046,0.1516,-0.9895,0.838,-0.003322023883,-0.039509947731,0.042831971614,6.8,4.6
11.003,0.0068,0.0046,0.5355,-1.0659,0.5305,0.014714556398,-0.046611948393,0.031897391996,6.8,4.6
11.004,0.0068,0.0046,0.8416,-0.9874,0.1458,0.030611592278,-0.046936612303,0.016325020026,6.8,4.6
11.005,0.0068,0.0046,1.0253,-0.7652,-0.26,0.042057683444,-0.040436755715,-0.001620927729,6.8,4.6
11.006,0.0068,0.0046,1.0599,-0.4318,-0.6281,0.047388597228,-0.028057471505,-0.019331125723,6.8,4.6
11.007,0.0068,0.0046,0.9404,-0.0356,-0.9048,0.045829244918,-0.011598711957,-0.034230532961,6.8,4.6
11.008,0.0068,0.0046,0.6842,0.3657,-1.05,0.037606376996,0.006546424229,-0.044152801226,6.8,4.6
11.009,0.0068,0.0046,0.3285,0.7139,-1.0425,0.02391561167,0.023739647314,-0.047655258983,6.8,4.6
11.01,0.0068,0.0046,-0.0749,0.9583,-0.8834,0.006747591142,0.037481081702,-0.044228672844,6.8,4.6
11.011,0.0068,0.0046,-0.4675,1.0634,-0.5959,-0.011401457504,0.045772745491,-0.034371287987,6.8,4.6
11.012,0.0068,0.0046,-0.7921,1.0138,-0.2217,-0.027892673083,0.047409054722,-0.019516381639,6.8,4.6
11.013,0.0068,0.0046,-1.0015,0.8168,0.1847,-0.040328249238,0.042152112665,-0.001823863427,6.8,4.6
11.014,0.0068,0.0046,-1.0653,0.5011,0.5642,-0.046900073497,0.030766297958,0.016133775538,6.8,4.6
11.015,0.0068,0.0046,-0.9743,0.1125,0.8618,-0.046652624857,0.014907122348,0.031745502509,6.8,4.6
11.016,0.0068,0.0046,-0.7415,-0.2925,1.034,-0.039621904345,-0.003119481982,0.042741386328,6.8,4.6
11.017,0.0068,0.0046,-0.4009,-0.6549,1.0558,-0.026830198387,-0.020692445426,0.047522643813,6.8,4.6
11.018,0.0068,0.0046,-0.0021,-0.9221,0.9242,-0.010137436855,-0.035256664515,0.04539410137,6.8,4.6
11.019,0.0068,0.0046,0.3971,-1.0553,0.6582,0.008029242479,-0.044694513672,0.036665271193,6.8,4.6
11.02,0.0068,0.0046,0.7385,-1.035,0.2964,0.025028400691,-0.047633746741,0.02260534605,6.8,4.6
11.021,0.0068,0.0046,0.9726,-0.8642,-0.1084,0.038388363432,-0.0436470202,0.005258656768,6.8,4.6
11.022,0.0068,0.0046,1.0652,-0.5678,-0.4975,0.046166602235,-0.033314026925,-0.01285257531,6.8,4.6
11.023,0.0068,0.0046,1.003,-0.1888,-0.8142,0.0472321776,-0.018137206874,-0.029094970726,6.8,4.6
11.024,0.0068,0.0046,0.7949,0.2177,-1.0126,0.041430176351,-0.000323289875,-0.041106886476,6.8,4.6
11.025,0.0068,0.0046,0.4712,0.5925,-1.0637,0.029604233928,0.017537565279,-0.047141799207,6.8,4.6
11.026,0.0068,0.0046,0.0791,0.8811,-0.9602,0.013473867343,0.032848381782,-0.046322249125,6.8,4.6
11.027,0.0068,0.0046,-0.3246,1.0416,-0.717,-0.004615545225,0.043382966641,-0.038767421416,6.8,4.6
11.028,0.0068,0.0046,-0.6811,1.0507,-0.3696,-0.022033785143,0.047609599811,-0.025575814668,6.8,4.6
11.029,0.0068,0.0046,-0.9385,0.907,0.0315,-0.036248229749,0.044913746216,-0.008665516467,6.8,4.6
11.03,0.0068,0.0046,-1.0595,0.6314,0.4281,-0.045192097734,0.035687407684,0.009504690051,6.8,4.6
11.031,0.0068,0.0046,-1.0264,0.264,0.7624,-0.047564959627,0.021272123156,0.02629283647,6.8,4.6
11.032,0.0068,0.0046,-0.8441,-0.1417,0.9859,-0.043021820222,0.003763906121,0.039257914101,6.8,4.6
11.033,0.0068,0.0046,-0.5391,-0.5269,1.066,-0.032223279281,-0.014291519815,0.046514799096,6.8,4.6
11.034,0.0068,0.0046,-0.1556,-0.8355,0.9911,-0.016739477442,-0.030268872906,0.047008350349,6.8,4.6
11.035,0.0068,0.0046,0.2504,-1.0226,0.7721,0.001178205938,-0.041845032761,0.040666826823,6.8,4.6
11.036,0.0068,0.0046,0.6201,-1.061,0.4409,0.018924507933,-0.047336824635,0.028412316702,6.8,4.6
11.037,0.0068,0.0046,0.8996,-0.9451,0.0455,0.033919091685,-0.045945753909,0.012026662224,6.8,4.6
11.038,0.0068,0.0046,1.0483,-0.6918,-0.3565,0.043981730897,-0.037874106501,-0.006107624396,6.8,4.6
11.039,0.0068,0.0046,1.0446,-0.3379,-0.7066,0.04764931761,-0.024295534493,-0.023353783118,6.8,4.6
11.04,0.0068,0.0046,0.8889,0.0651,-0.954,0.044388599396,-0.007184403039,-0.037204196357,6.8,4.6
11.041,0.0068,0.0046,0.6041,0.4586,-1.0627,0.034673712877,0.0109712878,-0.045645000677,6.8,4.6
11.042,0.0068,0.0046,0.2314,0.7855,-1.0169,0.019917241381,0.02753166361,-0.047448904991,6.8,4.6
11.043,0.0068,0.0046,-0.175,0.9982,-0.8232,0.002264820777,0.040088818746,-0.042353639523,6.8,4.6
11.044,0.0068,0.0046,-0.5559,1.0657,-0.5098,-0.015716841726,0.046816930233,-0.031100088508,6.8,4.6
11.045,0.0068,0.0046,-0.856,0.9783,-0.1223,-0.031413173271,0.046737735335,-0.015324562065,6.8,4.6
11.046,0.0068,0.0046,-1.0316,0.7486,0.283,-0.042541900245,0.03986277131,0.002679128935,6.8,4.6
11.047,0.0068,0.0046,-1.0572,0.4101,0.6471,-0.047484895265,0.027191695596,0.020293199669,6.8,4.6
